SCHID,C0196,C0198,C0200,C0202,C0204,C0194,C0560,C0562,FR_LVEL,FR_SIZE,FR_URBAN,INVASIVE,C0190,C0284,C0288,C0308,SVINC08,FR_CATMN
104,4,4,4,4,1,1,3,3,1,1,3,0,1,3,3,2,0.0,2.0
105,4,4,4,3,1,2,3,3,2,3,4,1,1,3,3,2,0.0,1.0
107,4,4,4,4,1,1,2,3,3,4,1,1,1,2,2,2,0.0,4.0
108,3,5,3,1,1,2,4,3,2,4,1,0,1,2,2,2,0.0,3.0
110,4,4,3,1,1,1,3,3,1,3,1,0,1,3,2,2,1.0,4.0
111,4,3,4,2,1,1,3,3,3,4,2,1,1,2,3,2,0.0,2.0
112,4,4,3,2,1,2,3,3,1,3,4,1,2,2,2,2,1.0,2.0
113,1,1,1,1,2,2,2,3,3,2,4,1,2,3,2,2,0.0,1.0
114,3,2,2,1,1,2,3,3,3,2,4,0,1,3,2,2,1.0,1.0
115,3,2,2,1,2,2,1,2,3,4,1,1,1,3,3,2,0.0,3.0
117,3,3,2,2,1,2,3,3,2,3,1,1,2,2,2,2,0.0,3.0
118,4,3,2,2,1,1,4,2,2,4,2,1,1,2,3,2,0.0,4.0
119,4,4,2,1,1,2,3,3,1,2,2,0,2,2,2,2,0.0,3.0
120,3,2,2,1,1,2,3,3,3,2,4,0,1,3,2,2,0.0,1.0
121,1,1,1,1,1,1,2,2,3,4,1,1,1,2,2,2,0.0,4.0
123,3,5,4,1,1,2,4,3,3,4,2,1,1,3,3,2,0.0,3.0
125,4,3,3,4,1,2,3,3,3,4,2,0,1,3,3,2,0.0,3.0
126,3,3,3,2,1,2,3,3,3,3,3,1,2,3,2,2,0.0,2.0
127,4,4,3,2,1,2,3,3,2,3,2,1,2,2,2,2,0.0,1.0
128,2,1,2,1,2,2,3,3,2,1,4,0,1,3,2,2,0.0,3.0
129,2,2,1,1,2,2,3,3,2,1,2,1,2,3,3,2,0.0,2.0
130,3,3,2,1,2,2,3,3,2,2,3,1,1,3,3,2,0.0,3.0
133,2,2,2,1,1,2,2,2,2,3,3,1,2,2,2,2,0.0,3.0
134,4,3,3,2,1,2,3,3,2,4,2,1,1,2,2,2,0.0,3.0
135,4,4,3,1,2,2,3,3,2,4,3,0,1,2,2,2,0.0,2.0
136,1,3,2,3,2,2,3,3,3,3,3,1,2,3,2,2,0.0,2.0
137,2,3,4,1,1,1,2,3,2,2,1,1,1,2,3,2,0.0,4.0
138,3,3,4,2,2,2,3,3,4,1,4,0,2,2,1,2,0.0,2.0
139,4,4,3,2,1,2,3,3,1,2,2,0,2,3,3,2,0.0,3.0
141,4,4,1,1,2,1,3,2,3,1,4,1,1,2,2,2,21.0,1.0
142,4,4,4,3,2,2,3,3,1,3,2,0,1,3,3,2,0.0,3.0
145,3,3,1,1,1,2,2,3,3,4,1,1,1,2,2,2,14.0,3.0
146,4,4,4,4,1,1,3,3,1,3,2,0,1,3,3,2,0.0,3.0
148,3,2,4,1,1,2,4,3,3,3,4,1,2,3,2,2,0.0,3.0
149,2,5,2,1,1,2,3,3,3,4,2,1,2,2,2,2,0.0,3.0
151,3,2,4,2,1,2,3,3,1,1,2,0,1,3,3,2,0.0,2.0
152,4,3,3,1,2,2,3,3,1,3,4,0,2,3,3,2,0.0,2.0
153,2,1,2,1,2,2,1,3,3,4,2,0,1,3,2,2,1.0,3.0
155,4,4,4,4,1,1,4,2,3,4,1,1,1,3,2,2,1.0,4.0
157,2,2,3,1,1,2,3,3,2,4,3,0,1,3,3,2,0.0,2.0
158,4,3,4,1,2,2,3,3,1,2,2,0,2,1,1,2,0.0,4.0
159,3,2,2,1,1,1,4,3,4,3,4,1,1,3,3,2,0.0,4.0
160,4,5,3,2,1,2,3,3,2,4,2,1,1,3,2,2,1.0,2.0
161,4,4,2,1,1,2,3,3,2,1,3,0,2,2,3,2,0.0,1.0
164,4,4,4,2,1,2,2,2,1,3,1,0,1,3,3,2,1.0,4.0
165,3,3,3,2,1,2,4,3,1,3,1,0,1,3,3,2,0.0,4.0
166,2,2,2,1,1,2,4,3,2,4,2,1,1,2,2,2,0.0,4.0
171,4,4,2,1,1,2,2,2,1,2,4,0,1,2,2,2,0.0,4.0
172,4,3,3,1,1,2,3,3,2,4,4,1,1,3,3,2,1.0,4.0
173,3,4,2,2,1,2,2,2,1,2,4,0,1,3,2,2,0.0,1.0
176,2,2,2,3,2,2,3,3,4,1,3,0,2,3,3,2,0.0,3.0
178,3,3,3,3,1,1,3,3,1,3,3,0,2,3,3,2,0.0,3.0
179,3,2,3,1,1,2,3,3,3,4,2,0,1,2,1,2,1.0,1.0
180,2,3,3,1,1,2,3,3,2,3,2,1,1,3,3,2,1.0,2.0
181,2,1,1,1,2,2,2,2,3,4,2,1,1,3,3,2,2.0,4.0
182,4,3,3,3,1,1,3,3,1,3,2,0,1,2,2,2,3.0,2.0
184,3,5,2,1,1,2,3,3,3,4,2,1,1,3,2,2,0.0,1.0
185,1,1,1,1,2,2,2,2,3,4,1,1,2,3,1,2,1.0,4.0
186,1,2,2,1,2,2,4,3,3,2,4,0,2,2,2,2,0.0,1.0
187,3,4,3,3,1,1,4,3,1,3,1,0,1,2,2,2,0.0,4.0
188,3,3,2,2,1,2,2,2,3,4,1,1,2,3,3,2,0.0,4.0
189,4,5,2,4,2,1,3,3,3,3,3,0,1,2,2,2,0.0,3.0
190,1,1,1,1,2,2,1,2,3,4,1,1,2,3,3,2,2.0,4.0
192,2,1,2,1,1,2,3,3,3,4,2,1,2,3,2,2,3.0,2.0
195,4,2,2,2,1,2,2,2,2,3,1,0,1,2,2,2,2.0,4.0
196,4,4,4,2,1,2,3,3,1,2,4,0,2,2,2,2,0.0,3.0
197,5,4,1,2,1,2,3,3,3,4,4,0,1,2,2,2,0.0,2.0
198,4,4,4,1,1,2,4,3,1,3,4,0,2,3,3,2,1.0,2.0
199,2,3,2,1,1,2,2,3,3,4,1,1,2,2,1,2,2.0,4.0
201,3,2,3,1,1,1,2,2,3,4,2,1,2,3,2,2,1.0,4.0
204,2,2,3,1,2,2,4,3,3,4,2,0,1,3,2,2,0.0,2.0
205,2,2,1,1,1,2,3,3,2,4,2,1,1,3,2,2,0.0,2.0
206,4,4,5,1,1,2,3,3,3,4,3,1,1,2,2,2,2.0,2.0
207,3,3,2,1,2,2,3,3,2,4,1,0,1,3,3,2,0.0,3.0
208,4,4,3,1,2,2,2,2,3,4,1,0,2,2,1,2,13.0,4.0
209,3,4,3,2,2,2,2,2,1,3,2,0,2,3,2,2,0.0,3.0
210,4,4,4,1,1,2,2,3,2,2,2,1,1,2,3,2,0.0,4.0
211,3,4,2,1,1,2,3,2,3,4,3,0,1,3,3,2,2.0,3.0
212,3,4,3,1,1,2,3,3,1,3,1,0,1,3,3,2,0.0,4.0
214,3,2,2,2,1,2,4,3,3,4,2,0,1,2,2,2,0.0,3.0
216,4,5,4,5,1,2,3,3,2,2,2,0,2,3,3,2,0.0,1.0
217,4,4,2,4,1,2,3,3,1,3,4,0,1,3,3,2,0.0,3.0
218,2,5,1,1,2,2,2,2,3,4,2,0,2,3,3,2,44.0,3.0
220,4,4,4,3,1,1,3,3,4,3,4,1,1,3,3,2,0.0,1.0
223,4,4,3,3,1,1,3,3,2,4,1,0,1,1,2,2,0.0,3.0
224,4,4,4,2,1,2,3,3,2,3,2,1,1,2,2,2,0.0,2.0
225,1,1,2,1,2,2,3,3,3,2,4,1,2,3,2,2,0.0,2.0
227,4,4,4,1,1,1,2,3,2,1,4,1,1,2,2,2,0.0,1.0
228,4,4,4,1,1,1,4,3,1,2,1,0,1,3,3,2,0.0,4.0
229,4,5,3,1,2,2,3,3,3,4,1,1,1,2,2,2,1.0,2.0
230,2,2,2,1,1,2,2,3,3,4,4,0,1,3,2,2,3.0,2.0
231,3,2,2,1,2,2,3,3,3,4,2,1,2,3,3,2,2.0,2.0
232,4,4,4,4,1,2,4,3,1,3,2,0,1,3,3,2,0.0,3.0
235,2,2,2,1,2,2,3,2,2,2,3,1,1,2,2,2,0.0,4.0
